Name	C1						
PCDHA11	0.206371175						
LRRC1	0.202317363						
POU6F2	0.217444616						
RASSF3	0.416120865						
GCNT3	0.015335404						
RP11-25K19.1	0.370860678						
APBB2	0.347176908						
ETS1	0.309515863						
EML5	0.486053496						
TYSND1	0.206611342						
FGFR1	0.450383409						
LINC00461	0.181099645						
NOSIP	0.703961965						
ATP9A	0.597322422						
NEDD4L	0.436552128						
RXRA	0.158003084						
SEMA6D	0.36626457						
LHX6	0.148643074						
RPL24	0.823012687						
MGAT3	0.368186863						
BCL2	0.560065523						
STK4-AS1	0.046891772						
MLLT11	1.076511706						
VWA5A	0.171499913						
TFPI2	0.024877001						
ECE2	0.202224162						
DLX6	0.469533945						
DNM3	0.1738659						
STK17A	0.328979942						
CTDSP2	0.719654062						
C15orf38-AP3S2	0.057040009						
NUMA1	0.78669714						
NEBL	0.244375627						
ENHO	0.445590934						
TNS3	0.099416027						
ARHGAP26	0.170644689						
SAMD9L	1.44E-20						
REEP3	0.289247705						
EGR4	0.080330304						
RDH14	0.272874582						
SLC25A29	0.328973834						
MEX3C	0.61682008						
CKMT1A	0.628896204						
ITGA2	0.035713184						
ZSWIM5	0.38233516						
KSR2	0.225267314						
LONRF2	0.443057604						
CYP1A1	0.133718021						
ZNF532	0.782073657						
ZNF865	0.316458845						
CHML	0.571053369						
RNF144B	0.065736373						
ADAMTS13	0.193688701						
ISLR2	0.306224487						
PSMB9	0.041939439						
AFAP1L2	0.049470617						
LRCH2	0.362035654						
RP4-798A10.7	0.190388						
LIFR	0.49512058						
USP28	0.402520365						
APBA1	0.277745567						
SEPSECS	0.264467993						
NYAP1	0.272407165						
APBB3	0.359469707						
DHCR7	0.638775463						
DOCK2	0.037888286						
CKMT1B	0.594953293						
IFITM2	3.59E-21						
TCEB2P2	0.049847332						
BUD13	0.612323207						
MMAB	0.469153472						
PKDCC	0.237523508						
AP1S2	0.439420031						
C12orf29	0.534932414						
RPS5	0.826427087						
SAE1	0.802257515						
RP11-426C22.6	0.029846999						
ATF5	0.66106792						
EPHA10	0.237516671						
ZNF628	0.202730168						
CTSC	0.208857199						
CORO1A	0.564893184						
AC004951.5	0.086842614						
RP11-448G4.2	0.04554984						
TXNRD1	0.778727958						
PTPRN	0.696670579						
PGF	0.368835695						
SSX6	0.053395251						
SLC6A17	0.294368661						
DUSP15	0.154358536						
PITX2	0.093158784						
GDA	2.08E-19						
RP11-76H14.2	0.098630866						
RP11-313M3.1	0.002326088						
H2AFX	0.759858781						
RP11-438O11.1	0.008059931						
SLC22A18	0.056724835						
EPG5	0.339719795						
TMEFF1	0.327026983						
RP11-396M11.1	0.068586803						
TFCP2L1	0.31650495						
BRSK2	0.528415551						
NOXA1	0.12302835						
IER3IP1	0.766158203						
PAFAH1B2	0.619081417						
ELMO1	0.318693793						
VCAN	0.223396297						
MALAT1	0.728793249						
SNCB	0.329970897						
SLC10A5	0.13969794						
TNIK	0.354295527						
TCIRG1	0.045251939						
NOV	0.157027256						
SLC22A17	0.557857186						
PSMD11	0.746751682						
DLG3	0.50521026						
FAM53A	0.10395644						
TAPBPL	0.177522165						
FAM219A	0.6639349						
EPN1	0.70994953						
RTN1	0.768002385						
DHX36	0.65085274						
DNMT1	0.82625298						
DUSP13	0.031651609						
PPP1R3F	0.231752249						
PIR	0.419439873						
FAM124A	0.193280177						
C15orf40	0.325964313						
ZNF721	0.397210292						
IREB2	0.557963547						
BEGAIN	0.221686417						
WNT5B	0.149683203						
LRRC37B	0.339537217						
ZNF92	0.501635474						
UNC45A	0.547749877						
C7	0.111589283						
TPH2	0.077611072						
BBS4	0.369289058						
ENTPD5	0.191019504						
DAPK1	0.20759617						
HMGB1P21	0.038229615						
MSX1	0.196223382						
PMEPA1	0.146043577						
PPCDC	0.220820326						
DCUN1D3	0.200510959						
YAP1	1.01E-21						
TUBG2	0.581356594						
RP11-334C17.5	0.147375897						
DNMBP	0.218376646						
SLC27A3	0.362910634						
MMP24	0.545239637						
MCF2L2	0.232746688						
PPP2R3A	0.108507526						
IFITM1	1.67E-21						
ANKMY2	0.35819629						
P2RX6	0.151808758						
LRRC27	0.128094616						
CHEK2	0.460480487						
EIF2B5	0.659937187						
GPM6B	0.378766603						
NFATC1	0.117666673						
COMMD8	0.401442307						
SRSF12	0.392706258						
MESP1	0.160400713						
PSAPL1	0.00297249						
SBNO2	0.405560464						
CREG1	0.292890803						
FILIP1	0.06220772						
JAG1	0.190010652						
NXT1	0.603391055						
HMGCS1	0.819855583						
NRCAM	0.704435881						
TRIM28	0.823411855						
ACRV1	0.126762152						
ARHGEF12	0.629758898						
STAG2	0.737559581						
HDDC3	0.324776334						
PDK3	0.32316605						
CTSD	0.645576575						
MATN3	5.34E-21						
OSR1	0.021414021						
NBEA	0.454975259						
PAQR6	0.24105951						
SOCS1	0.106982329						
TLX3	0.187958327						
TMEM130	0.179669826						
SAMD3	0.036270615						
LINC00205	0.279715968						
KRT15	0.080306643						
ZSCAN5A	0.214158496						
LRRC49	0.341457198						
RNF26	0.658683018						
MTG1	0.19421526						
COQ6	0.288616417						
TRIM73	0.219282741						
ADAP2	1.99E-20						
BDNF	0.041594144						
DIO2	0.042580705						
PTPRU	0.313137427						
PI4K2B	0.342481977						
BHLHE41	0.030417051						
INHBA	0.022088913						
ADNP2	0.589268872						
RPUSD4	0.501700632						
CLDN10	0.114720574						
BCL9L	0.126848561						
ANXA7	0.651416796						
DOC2A	0.28655297						
PCDHA12	0.15262471						
PIK3C3	0.442820839						
SLC24A1	0.151507897						
PRAF2	0.719942041						
MRC2	0.128190195						
IFITM3	3.64E-21						
IQGAP2	0.039601757						
RP11-234A1.1	0.487242843						
PMS2P4	0.230519504						
LRRK1	0.056709129						
CHRNA7	0.255383401						
DLAT	0.64675857						
IFT43	0.28900769						
IRF7	0.197644249						
TMEM37	0.042097595						
ZW10	0.462901097						
AP2S1	0.764440729						
FBXO45	0.624922446						
RNF215	0.197548571						
MCCC1	0.49434714						
GKN1	0.003779548						
KCNAB2	0.37461531						
GHDC	0.253498251						
RBFA	0.645761902						
FBXL5	0.456720902						
WARS	0.541176894						
KCNH2	0.782485956						
VAPB	0.57539796						
MALT1	0.246581698						
DDX10	0.366222623						
EMID1	0.300504676						
PRPF31	0.745611023						
RAB38	0.053413438						
RP11-467I20.3	0.006779731						
GCLM	0.324464148						
TMED3	0.449688707						
RP11-29G8.3	0.359188325						
RP11-575H3.1	0.095651929						
TMEM128	0.460039534						
CCBE1	0.097109507						
SRPK3	0.261415672						
ZNF776	0.449416619						
CBR3	0.165923642						
BEX1	1.253191887						
TMEM175	0.374445262						
NOX5	0.007088694						
FYB	0.012718615						
GADD45GIP1	0.712268666						
DPY19L2P4	0.117201287						
AKAP5	0.258006641						
NSDHL	0.553095356						
HMGA2	3.16E-21						
HTT	0.543198582						
FZD1	0.491127205						
NRP2	0.263838023						
RP11-345J4.3	0.024620155						
BSCL2	0.332893059						
IGSF9B	0.374971274						
ABHD2	0.586191224						
P2RY2	3.56E-21						
MYL5	0.128212434						
TSGA10	0.117239235						
SYN1	0.538290515						
DDX6	0.727867413						
RPL18	0.817671453						
CCDC92	0.37996821						
PHC3	0.247126905						
MAPRE3	0.546070119						
SCG5	0.590569645						
FURIN	0.36289012						
DAB2IP	0.40916839						
RAB11FIP3	0.578754789						
ABT1	0.532428199						
NR4A3	0.050684156						
RPS26P6	0.691086178						
COL4A5	0.114927741						
TRANK1	0.087706248						
NUP153	0.712621995						
TTYH2	0.337014506						
WDR19	0.424699354						
GLIS2	0.309929375						
HPRT1	0.765837622						
RAD54L	0.588623376						
DCPS	0.559185395						
MIPEP	0.230466886						
CSNK1G2	0.72242623						
HOXA9	0.209399152						
TSHZ1	0.599486924						
AC091633.2	0.026419758						
TIMM21	0.667617847						
SERPINB9	0.068458852						
RNF181	0.580301094						
SDSL	0.045929326						
REEP1	0.437372878						
SLIT2	0.353635187						
RPL13A	0.825274346						
SULT4A1	0.635400505						
MVK	0.342203752						
IGF1R	0.319457579						
ZBTB33	0.588176998						
COMP	0.033156086						
CATSPER2P1	0.172430189						
CDK5R2	0.722167901						
MRPL47	0.751947837						
MBD2	0.409434387						
TCTA	0.530661786						
SERTAD1	0.075565874						
RP11-475I24.3	0.170287505						
JUNB	0.497305418						
F2R	0.204314802						
MLLT1	0.702446127						
NTNG2	0.227422675						
MST1P2	0.096571313						
ZNF704	0.523671157						
AP000253.1	0.060791923						
ZSCAN5C	0.058484798						
DNM1	0.675904577						
CDS1	0.154318639						
HMGN4	0.752809341						
MAN2B2	0.13884746						
ARHGAP4	0.474833966						
THOC2	0.637994559						
FHL2	0.074363155						
SIGIRR	0.223734796						
RIPPLY2	0.446143961						
CTC-378H22.2	0.096631492						
DNMT3A	0.640800251						
HMGN5	0.238917027						
CISH	0.139445733						
GPR157	0.0282555						
GBP2	2.40E-07						
NAGLU	0.329959566						
SLC45A1	0.15007179						
ABCA9	0.048629262						
HDAC11	0.086241538						
HEY2	0.223301863						
GPRC5A	1.22E-21						
HLA-F	0.003355746						
ZNF365	0.050151311						
FAM122B	0.710640995						
ALDH2	0.599039561						
SLC12A8	0.079839953						
BEND6	0.144982751						
SLC26A1	0.09312161						
FBXO2	4.55E-21						
ZNF367	0.488911054						
PTER	0.233959465						
TMEM221	0.066919753						
SARNP	0.415066798						
DAAM1	0.514863069						
IFT46	0.423682547						
KIAA0040	0.119316424						
TMEM136	0.358553745						
MAGEA6	0.760103391						
ZNF614	0.318105125						
ANKRD6	0.267721363						
C1orf159	0.229319558						
TMEM200A	0.075855581						
ZNF300	0.537697811						
PRMT1	0.775825409						
EIF4G1	0.802222761						
RP11-20D14.6	0.031011542						
SLC35D3	0.309317675						
MTMR1	0.556782085						
MKNK2	0.541347468						
GNPDA2	0.356950364						
PDE4DIP	0.352615329						
RP11-211N8.2	0.156350681						
TIMM17B	0.652990115						
C17orf75	0.699789527						
ARC	0.395991507						
CD276	0.510507556						
RP11-818F20.5	6.40E-22						
SEMA3A	0.219779135						
CHEK1	0.620528433						
SPTBN5	0.098292555						
TTC8	0.487041252						
ACSM4	0.029620441						
ATP5A1P7	0.00617731						
ZNF460	0.212622867						
ARCN1	0.742694223						
TIMM8B	0.520825239						
OAF	0.020157471						
TBC1D8	0.361798139						
PTPRD	0.326148594						
RNPC3	0.462743681						
SNORD104	0.018161345						
SLC1A1	0.110117895						
ZNF469	0.018460379						
RPL10	0.825574279						
DYM	0.670848618						
NKX6-1	0.166308731						
C19orf43	0.799719467						
BANF1	0.810130249						
QTRT1	0.622791702						
KHK	0.501537518						
RP11-496I9.1	0.123646117						
COMMD4	0.542960713						
SLC10A3	0.195942061						
SPOCD1	1.82E-12						
FXYD1	1.01E-20						
TM2D1	0.362125388						
IFIT5	0.247336721						
DUS3L	0.592509787						
FAM127B	0.737123793						
GCHFR	0.326075027						
ABHD14B	0.27834095						
RP11-589F5.4	0.496034428						
CBR3-AS1	0.162554693						
WDR1	0.53553694						
C16orf45	0.540580289						
STK32A	0.291795722						
MIR15A	0.007846558						
LIAS	0.329551396						
SLC4A1AP	0.608126153						
MAP3K11	0.456555905						
SCRIB	0.730516551						
SPRYD7	0.244565365						
RP11-657O9.1	0.211063985						
RPL34	0.808889463						
ZNF584	0.362738732						
ANXA6	0.388677668						
ESRP2	0.064150791						
STK11	0.588310833						
NPFFR2	0.077345703						
SERTAD4	0.404409123						
AC016831.7	0.051485066						
LDHAP7	0.014069135						
SIRT3	0.246907735						
OTX1	0.096730489						
PDE4C	0.149388649						
SIK3	0.373686013						
PAX9	0.213294124						
MAPT	0.530651119						
PQLC1	0.521302666						
AC009302.2	0.160164221						
FAM219B	0.531395243						
ARL5B	0.500774711						
SYNM	0.357651943						
CRMP1	1.071810702						
ZMYND10	0.154133293						
ETV6	0.245946399						
PACRGL	0.374922742						
PRRT3	0.193076031						
HINFP	0.303605842						
ZNRD1	0.525729937						
KB-1460A1.1	0.113078329						
SIPA1	0.195354828						
TIFA	0.3475248						
TRMT1	0.576233016						
SLC5A2	0.069978188						
TC2N	0.132971356						
RCN2	0.746971236						
MAGEA12	0.569549117						
RP1-27O5.3	0.017195532						
BLM	0.478067091						
ARID3B	0.444630233						
PRR5	0.165916155						
ARHGAP24	0.127640183						
SYT17	0.34311099						
RPS3AP47	0.440146209						
RNASEL	0.105278322						
GADD45A	0.627496805						
UCHL1	1.139026268						
GFM1	0.497078037						
STK32C	0.35267027						
TMEM164	0.521765951						
RPS25	0.824230994						
LINC00470	0.045483701						
C2orf15	0.285035923						
PLCH1	0.175799659						
RCAN2	0.31078604						
GS1-124K5.2	0.15341756						
RP11-603J24.17	0.689494018						
GNB1L	0.3268281						
TCF7L1	0.062495466						
ITCH	0.466205711						
PLEKHN1	1.42E-21						
SERPINE2	0.264478487						
RPS26P3	0.36665806						
PGBD5	0.658381288						
CTDP1	0.470234249						
BMI1	0.629921643						
SLC35B2	0.684576352						
LETM1	0.529379562						
MAGEA3	0.740374992						
UNC5A	0.440703886						
MAP6	0.46927233						
CD83	0.362875971						
RP11-598F7.5	0.144170214						
ATP5I	0.775869197						
DBNL	0.576551829						
HRASLS	0.407680702						
AKR1B15	0.026344247						
TTC19	0.493238139						
RASGRP3	0.037232041						
ZSCAN12	0.313019837						
CEND1	0.486256993						
CERS4	0.387890964						
C4BPB	1.19E-21						
P4HA2	0.100957501						
SLAIN1	0.559509826						
FKBPL	0.332086716						
CTSK	0.187425293						
MUC1	0.217432913						
FN1	0.29934907						
AOX1	0.035992849						
PTPN13	0.386814311						
ZNF358	0.667578035						
OCIAD1	0.709264409						
RAET1G	0.032055002						
REPIN1	0.740025864						
BCRP2	0.043168314						
TTPA	0.025780878						
HOXD1	0.20811246						
PPFIBP1	0.206471576						
LAMA3	0.112487947						
WWC2	0.085998014						
RP11-424C20.2	0.651379434						
BST2	1.59E-21						
POLL	0.279165917						
ACSL5	1.85E-21						
KIAA0408	0.216026903						
SHMT1	0.413320571						
NID2	0.07014172						
TRIP10	0.172097204						
ZNF432	0.278347						
ZFP36L1	2.85E-21						
BTBD1	0.649047528						
TMEM86A	0.103934559						
TUBA8	0.10418455						
CBFA2T3	0.268545115						
AP2M1	0.796014601						
SERTM1	0.233901307						
ZCCHC4	0.256447892						
KLHL5	0.197745518						
MYNN	0.397484879						
CNTNAP3B	0.093850755						
RP11-488C13.1	0.043403689						
SEC62	0.591849185						
BEND4	0.282453396						
SLC16A13	0.095403381						
RP11-2J18.1	0.038040014						
KIAA0319	0.194046289						
TSPAN33	0.392358521						
TMEM109	0.573349195						
DGKQ	0.197409745						
ACAA1	0.289144164						
MME	0.073153753						
AEN	0.507546475						
RAP1GAP	0.337088927						
CSAG1	0.464584461						
YKT6	0.743219142						
CABLES1	0.335712152						
ZMYND8	0.525836335						
PDE8A	0.339705816						
CGA	0.172291807						
CAPSL	0.012877344						
CCDC115	0.522708937						
FBXO22	0.365608566						
RPS15	0.825946099						
SLC22A23	0.187033039						
GJA1	0.103350661						
ABCB6	0.688376257						
KCNMB4	0.26358321						
ZNF658B	0.105337866						
PARP9	0.129126181						
LGR4	0.332687098						
TMEM5	0.294525926						
RP4-631H13.6	0.058204066						
TNFRSF10C	0.014538735						
PRSS36	0.073302845						
TPBG	0.152572185						
HAS3	0.213930368						
RPL41	0.820780685						
ZSCAN22	0.234920657						
RTBDN	0.272808467						
NGEF	0.036643456						
RAVER1	0.725215561						
ZNF132	0.273706291						
HAUS7	0.143574922						
FAM200B	0.403257293						
HTATIP2	0.317873504						
MXRA8	0.171628117						
LLPH	0.415280414						
ZNF709	0.128289833						
RP11-326C3.11	0.018896061						
RP11-467L13.5	0.02453254						
FAAH	0.282419658						
SIPA1L3	0.408855484						
RP11-253E3.1	0.036160127						
PSMD2	0.795845961						
GPAM	0.302582506						
HDAC9	0.357581276						
SULT1A4	0.296393942						
ZNF649	0.427481009						
SLC9B2	0.345035277						
COG7	0.301084338						
CTB-31O20.2	0.389179376						
ZNF256	0.329708357						
CD99L2	0.598361451						
RP11-744H18.1	0.013530176						
P2RY6	0.027877985						
GP1BA	0.128118182						
CCDC102A	0.054858927						
VAMP8	5.48E-21						
ITGAM	0.005111408						
ZSWIM7	0.291270739						
NECAB2	0.182855251						
PCBP3	0.46822106						
TTC5	0.384558872						
HOMER2	0.290464838						
ATL1	0.565097161						
HOXB9	0.18889855						
MFGE8	0.215300141						
LENG8	0.737488117						
CNTNAP4	0.107784775						
PITPNM1	0.332699424						
TMEM231	0.332710147						
ISL2	0.224444634						
TLN2	0.179612678						
CHEK2P2	0.026251803						
TAF9B	0.694669611						
LRRC29	0.106826727						
PPP1R3G	0.053620281						
ALDH3B1	0.007471111						
ZNF525	0.268520595						
DMXL2	0.591352443						
LRRC15	0.011330116						
PCDH1	0.187381308						
RPL13AP25	0.614713958						
EFHD1	0.153196684						
TXNDC9	0.446266833						
TCL6	0.090223527						
HYOU1	0.776013438						
ZNF416	0.254855748						
ZCCHC12	0.303983333						
PDZD7	0.178795815						
PADI1	1.02E-21						
CD163L1	0.092426602						
WNT9A	0.201965922						
ABCB9	0.165820973						
SLC25A43	0.000876657						
SNN	0.004725343						
KCTD15	0.404929565						
STOML1	0.276007656						
CRELD1	0.347593888						
U2AF2	0.806493399						
ISG20	0.07136677						
POLR2H	0.672810624						
TRIM26	0.557264216						
MSMO1	0.629293748						
SYP	0.941699882						
WFS1	0.257709557						
NRP1	0.18832899						
IRF9	0.088959066						
FKBP1B	0.208761978						
SLC5A10	0.01471814						
G6PC3	0.722849176						
NEIL1	0.156630262						
CTBS	0.165153173						
CCND3	0.40217079						
TNFRSF10D	4.22E-19						
KNDC1	2.48E-20						
BST1	0.055685359						
IGFBPL1	0.893307455						
CHKA	0.460258501						
GAP43	0.640624718						
NOP14-AS1	0.090227402						
HES2	0.036679094						
PNKP	0.597056522						
ARHGDIG	0.261765796						
TIPARP	0.375519389						
DEK	0.81346469						
PEX7	0.253578015						
HENMT1	0.157878977						
SART1	0.707992119						
ZNF667	0.26531959						
KLF4	0.158489028						
FEN1	0.824114624						
SMAD4	0.677272062						
TMEM8B	0.351676286						
DYNC2LI1	0.248102818						
RP11-1149O23.2	0.008662875						
USP18	0.411495753						
LINC00176	0.170052772						
KDM4A	0.66881457						
UXS1	0.330124472						
CARD18	0.031978553						
ATP1A3	0.876407866						
GS1-259H13.2	0.143162632						
TRIM8	0.444504643						
SLC41A1	0.404439958						
MLLT3	0.252585334						
STAG3L4	0.386444386						
RP11-466H18.1	0.824381449						
CITED2	0.419346923						
ZFAND6	0.525046474						
CNPY3	0.701500249						
AC007879.5	0.040092322						
MUC15	0.188523556						
ABHD15	0.193728843						
RASL10A	0.067481927						
NHSL2	0.201858196						
UBOX5	0.349024463						
AGAP6	0.380676455						
KIAA1211	0.603413324						
FLT3	0.025716521						
ST6GALNAC5	0.332186196						
RP11-16P6.1	0.188219963						
OTUD7A	0.158785529						
PANX2	0.341810385						
SLC28A3	0.01128537						
ARHGAP27	0.086282522						
SPCS2	0.691000707						
HS3ST3A1	0.06718972						
TSPAN13	0.767472679						
TIMELESS	0.811785431						
DCUN1D5	0.654385416						
PREB	0.669838167						
GAB3	0.17303114						
EMILIN1	0.261108209						
TMEM59L	0.482455713						
FBRSL1	0.509883317						
MESDC2	0.4330423						
DKC1	0.804504237						
ZNF83	0.457744988						
GPR158	0.227228559						
RP11-480I12.5	0.260631849						
LRRC28	0.202320329						
TRIM2	0.377841179						
ECI1	0.51578912						
GOLGA5	0.515848647						
STX12	0.471921156						
PKP3	0.078127033						
PIGU	0.580897168						
RP11-303E16.2	0.25483967						
ZNF274	0.434236227						
SLC10A4	0.38913208						
ACSL1	0.453486237						
LPXN	0.125794535						
ZNF583	0.189732196						
RP1-102E24.6	0.06498098						
AGAP11	0.023345762						
GS1-124K5.4	0.2570814						
RP5-902P8.10	0.124565645						
CAMKK2	0.496183296						
DHCR24	0.768912702						
RHOXF2B	0.050516104						
RP11-111F5.2	0.145198939						
IFI35	0.032095003						
RP5-1028L10.1	0.174697264						
PTGR1	0.123641483						
SLC10A7	0.14479624						
ALG9	0.265256959						
C19orf68	0.27562138						
ADORA1	0.104987979						
SKP1P1	0.129488633						
C19orf48	0.781780708						
STAMBP	0.432738739						
PSMB10	0.362907372						
RP11-337C18.4	0.028043704						
RPL24P2	0.220509143						
MRPS11	0.512045149						
TICAM1	0.242830993						
CIB1	0.312595375						
RCAN3	0.338110696						
TMEM150A	0.109922237						
GSTA4	0.762752088						
CAMK1G	0.065802198						
GOLPH3	0.635842575						
CCDC9	0.351195427						
LPAR2	0.35009026						
EML3	0.376616248						
GCNT2	0.176048397						
CYR61	3.44E-21						
FUNDC1	0.512123818						
C5orf64	0.01793881						
PRICKLE4	0.101375527						
WDR47	0.441611648						
RUNDC3A	0.855785961						
TMEM110	0.121000619						
RP11-384P7.7	0.390936991						
RP11-124N3.3	0.02426426						
C7orf61	0.053532315						
ATP6V1C2	0.163127754						
SLC30A9	0.69466586						
ZNF559	0.514331881						
NDRG3	0.63037162						
FAM210A	0.265680783						
MSL2	0.56353863						
F11R	0.419132177						
GTF2F2	0.477881871						
PGBD1	0.436386344						
RP11-873E20.1	0.088164589						
LIPG	0.146785632						
ADD3	0.468418865						
SERINC3	0.615386714						
TMEM19	0.411962796						
ROBO4	0.003796533						
NOTCH3	5.39E-08						
MFSD7	4.83E-19						
SNRNP48	0.492055853						
TRIM21	0.06452915						
MRPL46	0.499172864						
LAP3	0.506402854						
CLEC2D	0.141043996						
FOXF1	0.040699063						
EIF4B	0.798977619						
CSPG5	0.213745647						
SCG3	0.908470546						
UACA	0.09346935						
NUCB2	0.373195081						
FAM98A	0.49610015						
ZNF45	0.420636844						
TSPAN9	0.384622686						
CBX4	0.487867227						
AC091729.9	0.214600433						
TRPM8	0.223009686						
RP11-802E16.3	0.301642049						
RP11-134E15.2	0.198860955						
PTPRG	0.174107783						
TSEN34	0.603016753						
NOXO1	0.006211072						
CCM2	0.336345049						
PPP1R21	0.360779373						
RPS3AP26	0.770631835						
RPS19P3	0.095750471						
FMO4	0.037305941						
KCNJ6	0.226169081						
ATP9B	0.324621701						
PLCB3	0.369689999						
DPP9	0.503638056						
CCNH	0.362042134						
OBSL1	0.566224001						
TNFAIP8L3	0.124198947						
TMEM63C	0.515413542						
ACOT11	0.139493927						
SNRNP27	0.587704558						
SNHG12	0.355285047						
VEZF1	0.737352534						
PIGO	0.336630556						
RASSF7	0.237506193						
IL22RA1	0.086938888						
RMND5B	0.506171124						
SLC35A3	0.296013003						
ZFHX3	0.382232239						
ARL14	1.49E-21						
C16orf72	0.374107157						
ZBED1	0.571313397						
KBTBD8	0.218352413						
GM2A	0.114739103						
PPP1R14BP2	0.017843808						
KLHDC8B	0.248754933						
KIAA1107	0.182019771						
KTN1-AS1	0.153252697						
CEBPD	0.117305898						
ANAPC4	0.478370242						
RPS11	0.827837627						
LA16c-306E5.1	0.01451393						
TRIM27	0.660764716						
ATXN3L	0.018345293						
SNORD3A	0.323197309						
GPR3	0.208212232						
SNX17	0.689037703						
CYP39A1	0.049838802						
AP3S2	0.106045471						
TOX2	0.310112258						
RP11-510I6.2	0.006240244						
SREBF2	0.793377021						
CBLN3	0.087359485						
DOK3	0.182887414						
ISM1	0.087715268						
PGAP2	0.289614748						
RPS6KB2	0.522858163						
MTA3	0.385808056						
RPL7AP30	0.006225813						
HEATR5B	0.467279307						
MINPP1	0.444438164						
NR1D1	0.269604377						
POLD1	0.715593118						
FASN	0.780836056						
EIF1AD	0.483311395						
MEIS2	0.351893693						
RP11-304M2.5	0.334637398						
AP3B2	0.667448956						
CYP26A1	0.083837585						
RPS9	0.794003695						
ABHD11	0.388092577						
OGG1	0.327959819						
SUSD4	0.239193453						
SLC37A2	0.031229598						
MTDH	0.682405007						
INTS7	0.638264564						
FAM110C	0.000493045						
AIMP1	0.61946264						
TMCO4	4.30E-07						
DYNC1H1	0.770178269						
DENND1A	0.242166864						
CNOT10	0.431951029						
RIBC2	0.358951699						
C6orf89	0.616527277						
ANKRD5	0.350069047						
